player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Josh Minott,minotjo01,2023,RS,MIN,39,15,10.3919989582959,3.853796387728693,14.24579534602459,21.01989070205919,22.1354190046525,43.15530970671169,13.30664496295781,7.959948431504418,21.26659339446222,.1853655538754501,.1853655538754501,0,11.57772436868984,3.369076184363145,14.94680055305298,.8619754758808617
Davion Mitchell,mitchda01,2023,RS,SAC,1405,662,-2.327478392187988,2.227919654758312,-.099558737429676,.5001549717723908,2.735247893435306,3.235402865207697,-1.892321080470854,2.487293355257141,.5949722747862871,1.122668091893232,1.122668091893232,0,-1.608043811631145,2.167906126472486,.5598623148413404,-.6359476613380913
Donovan Mitchell,mitchdo01,2023,RS,CLE,2517,1248,6.918592907269552,-.4701249372801356,6.448467969989417,2.001625189254226,-1.672584497478028,.3290406917761979,6.295318678205817,-.7875729802043189,5.507745698001498,5.258059134868136,5.258059134868136,0,6.483874040869562,-.1630397921414435,6.320834248728119,.0020776675006689
Evan Mobley,mobleev01,2023,RS,CLE,2477,1225,-1.991670423227704,-.0015090466787507,-1.993179469906455,-2.428347691099648,-3.634957785969032,-6.06330547706868,-2.219854177964279,-.8250391286525465,-3.044893306616825,-.1827332196028425,-.1827332196028425,0,-1.871817196078013,.3763103450371086,-1.495506851040904,-.8634731332968744
Isaiah Mobley,mobleis01,2023,RS,CLE,52,26,-.3441182046290795,-3.056536092717726,-3.400654297346805,6.525983162166946,24.41234544245895,30.93832860462589,1.058308104294958,2.43068531924111,3.488993423536068,.0811673375257721,.0811673375257721,0,3.034364413873567,.8117066004148531,3.84607101428842,-1.948017056605018
Chima Moneke,monekch01,2023,RS,SAC,18,8,-14.76033841415825,-10.69111358280061,-25.45145199695886,-24.1120659541757,-10.2793198490141,-34.39138580318981,-17.67588990557782,-11.24345316001569,-28.9193430655935,-.1121389552211068,-.1121389552211068,0,-12.83645077645396,-10.73403852746712,-23.57048930392109,5.042907841092749
Malik Monk,monkma01,2023,RS,SAC,1784,816,1.504778494003294,-2.950472730712783,-1.445694236709488,-5.447108951970387,-.1364776339347103,-5.583586585905097,.090016611932117,-2.529214458607805,-2.439197846675688,.1316098329918771,.1316098329918771,0,.7813761776737573,-3.100212261643786,-2.318836083970029,1.731742377834137
Moses Moody,moodymo01,2023,RS,GSW,1101,509,-2.455917877456958,-.8498858555100635,-3.305803732967021,-4.809299216064982,-2.028197331699443,-6.837496547764425,-3.057833875682239,-1.137572733106399,-4.195406608788637,-.3751406286220604,-.3751406286220604,0,-2.550138193904882,-1.882924613833299,-4.433062807738182,-.0591703480688593
Wendell Moore Jr.,moorewe01,2023,RS,MIN,217,96,-2.018824769493273,-.141102111551101,-2.159926881044374,-6.030583495470351,1.435730891221169,-4.594852604249183,-2.962124857116045,.1943466670959627,-2.767778190020082,-.0008815268683502,-.0008815268683502,0,-2.684687072109917,-.7451512489005929,-3.42983832101051,1.250311950067541
Ja Morant,moranja01,2023,RS,MEM,2136,1006,4.554915295226565,.3208427720629131,4.875758067289478,-.0708975926805979,4.093383785847325,4.022486193166728,3.851192458383079,1.065332353389956,4.916524811773035,3.967119789063032,3.967119789063032,0,3.38803907902382,1.295865072553439,4.683904151577259,.8273220067845992
Markieff Morris,morrima02,2023,RS,BRK,469,217,-2.067330887566589,1.185462483271757,-.8818684042948317,1.004959679926278,-1.074597886860642,-.0696382069343642,-1.574079873579062,.7614556093563842,-.8126242642226775,.214701131985689,.214701131985689,0,-1.364908766654764,-.5468243750980376,-1.911733141752801,.0979184406122298
Marcus Morris Sr.,morrima03,2023,RS,LAC,2202,1077,-.6891736466200009,-.7065124840339212,-1.395686130653922,.461753555911567,-2.960461018466261,-2.498707462554695,-.4470527028417807,-1.245317753416358,-1.692370456258138,.5736807153894757,.5736807153894757,0,-2.284547764760951,-.879617489474589,-3.16416525423554,-1.300154156599088
Monte Morris,morrimo01,2023,RS,WAS,1952,943,.427509105546041,-.8147423542550488,-.3872332487090078,7.143444454658497,-4.351734187220066,2.791710267438432,1.856588174889083,-1.608494915155523,.2480932597335603,1.415622162545833,1.415622162545833,0,1.863398868931252,-.9221248977688247,.9412739711624277,-1.88014257927269
